antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
frozenset({'nitro'}),frozenset({'Isi'}),0.003569516330537212,0.4872389791183295,0.003569516330537212,1.0,2.052380952380952,0.0018303088377000555,inf,0.5145978864409816
frozenset({'026m3'}),frozenset({'Isi'}),0.0030340888809566305,0.4872389791183295,0.0030340888809566305,1.0,2.052380952380952,0.0015557625120450472,inf,0.5143215180809165
frozenset({'Global'}),frozenset({'Isi'}),0.0030340888809566305,0.4872389791183295,0.0030340888809566305,1.0,2.052380952380952,0.0015557625120450472,inf,0.5143215180809165
frozenset({'kts'}),frozenset({'Isi'}),0.0030340888809566305,0.4872389791183295,0.0030340888809566305,1.0,2.052380952380952,0.0015557625120450472,inf,0.5143215180809165
frozenset({'oksigen'}),frozenset({'6m3'}),0.2516509013028735,0.12975191861502766,0.09530608602534357,0.37872340425531914,2.9188270069361115,0.06265389876009478,1.400741774831976,0.8784624990286111
frozenset({'6m3'}),frozenset({'oksigen'}),0.12975191861502766,0.2516509013028735,0.09530608602534357,0.734525447042641,2.9188270069361115,0.06265389876009478,2.818910853641508,0.7554128913919128
frozenset({'1m3'}),frozenset({'oksigen'}),0.15384615384615385,0.2516509013028735,0.14652864536855256,0.9524361948955916,3.7847517730496447,0.1078131220911874,15.73358348968104,0.8695604030561399
frozenset({'oksigen'}),frozenset({'1m3'}),0.2516509013028735,0.15384615384615385,0.14652864536855256,0.5822695035460992,3.7847517730496447,0.1078131220911874,2.025597492490531,0.9832067424014213
frozenset({'Tabung'}),frozenset({'oksigen'}),0.042477244333392825,0.2516509013028735,0.027128324112082814,0.638655462184874,2.5378628046963465,0.016438887290722133,2.071012621975769,0.6328493647912885
"frozenset({'1,5'})",frozenset({'oksigen'}),0.007852935927181866,0.2516509013028735,0.007852935927181866,1.0,3.9737588652482265,0.005876737523232833,inf,0.7542723511422917
frozenset({'m'}),frozenset({'oksigen'}),0.008031411743708727,0.2516509013028735,0.007852935927181866,0.9777777777777777,3.8854531126871548,0.005831823923143083,33.67570944137064,0.7486424155189898
frozenset({'6m3'}),frozenset({'tabung'}),0.12975191861502766,0.3026949848295556,0.03230412279136177,0.2489683631361761,0.8225057421297138,-0.006971132245419759,0.9284629048148592,-0.19869984247393094
frozenset({'isi'}),frozenset({'6m3'}),0.03997858290201678,0.12975191861502766,0.011065500624665358,0.2767857142857143,2.1331916879544117,0.005878202789618741,1.2033059890755173,0.5533406497190388
frozenset({'co2'}),frozenset({'6m3'}),0.01124397644119222,0.12975191861502766,0.011065500624665358,0.9841269841269841,7.5846815571712405,0.009606573108558497,54.825629127253066,0.878027832770467
frozenset({'Tabung'}),frozenset({'6m3'}),0.042477244333392825,0.12975191861502766,0.018739960735320364,0.4411764705882353,3.4001537341208836,0.013228456785583334,1.5572860403731084,0.737210313762038
frozenset({'argon'}),frozenset({'6m3'}),0.02641442084597537,0.12975191861502766,0.022131001249330717,0.8378378378378378,6.457228893267407,0.01870367946546063,5.366529835207329,0.868064220454747
frozenset({'6m3'}),frozenset({'argon'}),0.12975191861502766,0.02641442084597537,0.022131001249330717,0.17056396148555708,6.457228893267407,0.01870367946546063,1.173792232247058,0.9711423959353251
frozenset({'O26m3'}),frozenset({'tabung'}),0.23772978761377833,0.3026949848295556,0.23772978761377833,1.0,3.3036556603773586,0.16577017315849224,inf,0.9147740575977523
frozenset({'tabung'}),frozenset({'O26m3'}),0.3026949848295556,0.23772978761377833,0.23772978761377833,0.785377358490566,3.303655660377358,0.16577017315849224,3.5516765939753623,1.0
frozenset({'part'}),frozenset({'tabung'}),0.23772978761377833,0.3026949848295556,0.23772978761377833,1.0,3.3036556603773586,0.16577017315849224,inf,0.9147740575977523
frozenset({'tabung'}),frozenset({'part'}),0.3026949848295556,0.23772978761377833,0.23772978761377833,0.785377358490566,3.303655660377358,0.16577017315849224,3.5516765939753623,1.0
frozenset({'2'}),frozenset({'tabung'}),0.2379082634303052,0.3026949848295556,0.23772978761377833,0.9992498124531133,3.3011772990417416,0.1657161494239162,929.5075852222096,0.9146900999360015
frozenset({'tabung'}),frozenset({'2'}),0.3026949848295556,0.2379082634303052,0.23772978761377833,0.785377358490566,3.3011772990417416,0.1657161494239162,3.5508450143467094,0.9996741046139561
frozenset({'isi'}),frozenset({'tabung'}),0.03997858290201678,0.3026949848295556,0.03480278422273782,0.8705357142857142,2.8759502400606465,0.022701467677704718,5.386080117178601,0.679452381292872
frozenset({'co2'}),frozenset({'tabung'}),0.01124397644119222,0.3026949848295556,0.01124397644119222,1.0,3.3036556603773586,0.00784048116290166,inf,0.7052346570397113
frozenset({'nitrogen6m3'}),frozenset({'tabung'}),0.01445654113867571,0.3026949848295556,0.01445654113867571,1.0,3.3036556603773586,0.01008061863801642,inf,0.7075335023542195
frozenset({'argon'}),frozenset({'tabung'}),0.02641442084597537,0.3026949848295556,0.024986614313760487,0.945945945945946,3.1250796787353394,0.016991101596506478,12.900142780653248,0.6984575094932566
"frozenset({'1,5'})",frozenset({'tabung'}),0.007852935927181866,0.3026949848295556,0.007852935927181866,1.0,3.3036556603773586,0.005475891605836079,inf,0.7028242489656413
frozenset({'m'}),frozenset({'tabung'}),0.008031411743708727,0.3026949848295556,0.007852935927181866,0.9777777777777777,3.2302410901467504,0.005421867871260038,31.378725682669952,0.6960155713304328
frozenset({'acetylene'}),frozenset({'tabung'}),0.006246653578440122,0.3026949848295556,0.005354274495805818,0.8571428571428571,2.8317048517520216,0.0034634437856443964,4.881135106193109,0.6509219348659003
frozenset({'0.5m3'}),frozenset({'tabung'}),0.004640371229698376,0.3026949848295556,0.0037479921470640726,0.8076923076923077,2.6683372641509435,0.0023433750480870165,3.6259860788863114,0.6281496281496282
frozenset({'1m3/argon'}),frozenset({'tabung'}),0.0037479921470640726,0.3026949848295556,0.0037479921470640726,1.0,3.3036556603773586,0.0026134937209672197,inf,0.6999283410963812
frozenset({'part'}),frozenset({'O26m3'}),0.23772978761377833,0.23772978761377833,0.23772978761377833,1.0,4.206456456456457,0.18121433569488618,inf,1.0
frozenset({'O26m3'}),frozenset({'part'}),0.23772978761377833,0.23772978761377833,0.23772978761377833,1.0,4.206456456456457,0.18121433569488618,inf,1.0
frozenset({'2'}),frozenset({'O26m3'}),0.2379082634303052,0.23772978761377833,0.23772978761377833,0.9992498124531133,4.203300825206302,0.18117190667692906,1016.1061931108414,1.0
frozenset({'O26m3'}),frozenset({'2'}),0.23772978761377833,0.2379082634303052,0.23772978761377833,1.0,4.203300825206302,0.18117190667692906,inf,0.9997658627955983
frozenset({'2'}),frozenset({'part'}),0.2379082634303052,0.23772978761377833,0.23772978761377833,0.9992498124531133,4.203300825206302,0.18117190667692906,1016.1061931108414,1.0
frozenset({'part'}),frozenset({'2'}),0.23772978761377833,0.2379082634303052,0.23772978761377833,1.0,4.203300825206302,0.18117190667692906,inf,0.9997658627955983
frozenset({'Batang'}),frozenset({'pengaduk'}),0.026949848295555953,0.026949848295555953,0.026949848295555953,1.0,37.10596026490066,0.026223553972402475,inf,1.0
