antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
frozenset({'026m3'}),frozenset({'O21m3'}),0.08035714285714286,0.3244047619047619,0.043154761904761904,0.537037037037037,1.6554536187563709,0.017086522108843535,1.4592857142857143,0.4305323066622028
frozenset({'O26m3part2'}),frozenset({'O21m3'}),0.1875,0.3244047619047619,0.11904761904761904,0.6349206349206349,1.9571865443425074,0.05822172619047618,1.8505434782608694,0.6019230769230769
frozenset({'canulcosmomed'}),frozenset({'O21m3'}),0.06845238095238096,0.3244047619047619,0.03869047619047619,0.5652173913043478,1.7423214998005583,0.016484197845804988,1.5538690476190475,0.4573605308429589
frozenset({'onehealthcanul'}),frozenset({'O21m3'}),0.07589285714285714,0.3244047619047619,0.05505952380952381,0.7254901960784315,2.2363734484619537,0.03043951955782313,2.461096938775511,0.5982504243373808
frozenset({'t021m3'}),frozenset({'reg'}),0.07886904761904762,0.11458333333333333,0.06398809523809523,0.8113207547169811,7.080617495711835,0.05495101686507936,4.692708333333331,0.9322989067137545
frozenset({'reg'}),frozenset({'t021m3'}),0.11458333333333333,0.07886904761904762,0.06398809523809523,0.5584415584415584,7.080617495711835,0.05495101686507936,2.0860906862745097,0.969904240766074
frozenset({'t026m3'}),frozenset({'reg'}),0.0625,0.11458333333333333,0.049107142857142856,0.7857142857142857,6.857142857142858,0.04194568452380952,4.131944444444444,0.9111111111111111
frozenset({'reg'}),frozenset({'t026m3'}),0.11458333333333333,0.0625,0.049107142857142856,0.4285714285714286,6.857142857142858,0.04194568452380952,1.640625,0.9647058823529412
